Age group,2017_School not attended_M,2017_School not attended_F,2017_From Grade 1 to 7_M,2017_From Grade 1 to 7_F,2017_Passed Grade 8_M,2017_Passed Grade 8_F,2017_Passed G.C.E (O/L)_M,2017_Passed G.C.E (O/L)_F,2017_Passed G.C.E (A/L)_M,2017_Passed G.C.E (A/L)_F,2017_University Degree or above_M,2017_University Degree or above_F,2017_Other_M,2017_Other_F,2017_total_M,2017_total_F,2016_School not attended_M,2016_School not attended_F,2016_From Grade 1 to 7_M,2016_From Grade 1 to 7_F,2016_Passed Grade 8_M,2016_Passed Grade 8_F,2016_Passed G.C.E (O/L)_M,2016_Passed G.C.E (O/L)_F,2016_Passed G.C.E (A/L)_M,2016_Passed G.C.E (A/L)_F,2016_University Degree or above_M,2016_University Degree or above_F,2016_Other_M,2016_Other_F,2016_total_M,2016_total_F,2015_School not attended_M,2015_School not attended_F,2015_From Grade 1 to 7_M,2015_From Grade 1 to 7_F,2015_Passed Grade 8_M,2015_Passed Grade 8_F,2015_Passed G.C.E (O/L)_M,2015_Passed G.C.E (O/L)_F,2015_Passed G.C.E (A/L)_M,2015_Passed G.C.E (A/L)_F,2015_University Degree or above_M,2015_University Degree or above_F,2015_Other_M,2015_Other_F,2015_total_M,2015_total_F,2014_School not attended_M,2014_School not attended_F,2014_From Grade 1 to 7_M,2014_From Grade 1 to 7_F,2014_Passed Grade 8_M,2014_Passed Grade 8_F,2014_Passed G.C.E (O/L)_M,2014_Passed G.C.E (O/L)_F,2014_Passed G.C.E (A/L)_M,2014_Passed G.C.E (A/L)_F,2014_University Degree or above_M,2014_University Degree or above_F,2014_Other_M,2014_Other_F,2014_total_M,2014_total_F
08 Yrs - 16 Yrs,2,2,10,8,20,17,13,5,0,3,0,0,4,6,49,41,0,0,7,8,10,21,10,20,0,3,0,0,0,0,27,52,1,0,8,8,15,17,7,7,0,0,0,0,1,2,32,34,1,2,6,6,21,27,8,15,1,2,0,0,1,4,38,56
17 Yrs - 20 Yrs,1,0,5,2,28,26,64,43,15,13,0,1,5,2,118,87,2,0,11,6,32,33,44,61,14,10,0,0,4,2,107,112,2,1,11,4,26,32,42,57,20,15,1,1,12,8,114,118,0,2,7,7,37,15,54,46,11,13,0,1,5,4,114,88
21 Yrs - 25 Yrs,0,1,15,7,60,10,94,44,16,8,2,4,11,5,198,79,3,1,13,7,58,22,98,45,18,3,1,1,16,7,207,86,1,1,20,9,49,29,68,28,16,18,1,3,19,8,174,96,5,1,24,8,61,28,69,39,24,8,3,2,17,6,203,92
26 Yrs - 30 Yrs,4,2,18,6,58,28,100,31,14,7,1,1,19,11,214,86,2,0,12,9,64,26,52,37,6,4,1,0,16,7,153,83,4,3,27,4,64,19,68,16,16,3,1,1,26,10,206,56,5,1,28,5,90,26,70,27,14,4,3,3,15,3,225,69
31 Yrs - 35 Yrs,2,1,16,10,73,16,97,30,17,1,3,1,12,6,220,65,3,1,27,5,68,22,60,20,3,5,1,2,23,7,185,62,3,1,36,3,70,21,49,25,6,10,2,1,32,7,198,68,6,2,31,11,81,20,61,16,14,3,2,0,25,5,220,57
36 Yrs - 40 Yrs,4,1,26,5,87,15,56,28,8,2,0,1,19,4,200,56,4,1,37,5,67,16,46,18,5,2,0,0,17,6,176,48,5,1,41,11,77,16,49,15,4,1,0,1,32,8,208,53,7,0,36,5,64,18,50,12,6,1,3,0,24,6,190,42
41 Yrs - 45 Yrs,8,0,47,4,80,22,57,15,7,0,2,1,19,2,220,44,5,5,39,6,85,14,38,6,5,0,0,0,23,2,195,33,8,3,42,6,67,12,40,8,6,0,1,0,32,5,196,34,14,0,53,8,74,10,37,8,4,4,0,0,20,4,202,34
46 Yrs - 50 Yrs,6,2,45,7,98,11,54,6,2,2,1,0,26,4,232,32,4,1,47,6,95,10,35,8,2,2,1,0,27,3,211,30,4,2,50,11,81,14,44,4,5,2,0,1,29,6,213,40,10,3,47,13,99,13,42,3,8,2,2,0,22,4,230,38
51 Yrs - 55 Yrs,11,3,54,9,99,18,48,11,4,1,0,0,17,3,233,45,4,1,63,9,98,16,39,10,0,0,1,0,37,7,242,43,16,0,79,11,70,11,34,5,5,2,1,0,45,7,250,36,11,0,73,11,83,21,28,5,5,0,3,0,17,4,220,41
56 Yrs - 60 Yrs,10,3,66,11,103,16,49,3,0,0,1,1,21,3,250,37,7,6,57,6,95,5,15,2,4,0,0,0,38,4,216,23,10,4,51,6,76,12,29,3,6,0,1,0,41,10,214,35,19,0,75,6,80,7,33,5,7,1,0,0,26,3,240,22
