Age group,2017_Unmarried_M,2017_Unmarried_F,2017_Married_M,2017_Married_F,2017_Illegal Married_M,2017_Illegal Married_F,2017_Divoced_M,2017_Divoced_F,2017_Widow_M,2017_Widow_F,2017_Legally separate_M,2017_Legally separate_F,2017_Total_M,2017_Total_F,2016_Unmarried_M,2016_Unmarried_F,2016_Married_M,2016_Married_F,2016_Illegal Married_M,2016_Illegal Married_F,2016_Divoced_M,2016_Divoced_F,2016_Widow_M,2016_Widow_F,2016_Legally separate_M,2016_Legally separate_F,2016_Total_M,2016_Total_F,2015_Unmarried_M,2015_Unmarried_F,2015_Married_M,2015_Married_F,2015_Illegal Married_M,2015_Illegal Married_F,2015_Divoced_M,2015_Divoced_F,2015_Widow_M,2015_Widow_F,2015_Legally separate_M,2015_Legally separate_F,2015_Total_M,2015_Total_F,2014_Unmarried_M,2014_Unmarried_F,2014_Married_M,2014_Married_F,2014_Illegal Married_M,2014_Illegal Married_F,2014_Divoced_M,2014_Divoced_F,2014_Widow_M,2014_Widow_F,2014_Legally separate_M,2014_Legally separate_F,2014_Total_M,2014_Total_F
08 Yrs - 16 Yrs,48,40,1,1,0,0,0,0,0,0,0,0,49,41,27,51,0,1,0,0,0,0,0,0,0,0,27,52,31,34,1,0,0,0,0,0,0,0,0,0,32,34,38,52,0,4,0,0,0,0,0,0,0,0,38,56
17 Yrs - 20 Yrs,110,74,8,13,0,0,0,0,0,0,0,0,118,87,101,93,6,19,0,0,0,0,0,0,0,0,107,112,102,95,12,23,0,0,0,0,0,0,0,0,114,118,105,68,9,20,0,0,0,0,0,0,0,0,114,88
21 Yrs - 25 Yrs,121,32,77,46,0,0,0,1,0,0,0,0,198,79,139,36,66,50,0,0,0,0,0,0,2,0,207,86,125,35,49,61,0,0,0,0,0,0,0,0,174,96,137,41,65,50,0,0,1,1,0,0,0,0,203,92
26 Yrs - 30 Yrs,88,17,125,69,0,0,1,0,0,0,0,0,214,86,62,15,91,65,0,0,0,1,0,0,0,2,153,83,84,12,122,44,0,0,0,0,0,0,0,0,206,56,81,18,144,51,0,0,0,0,0,0,0,0,225,69
31 Yrs - 35 Yrs,52,3,166,62,0,0,2,0,0,0,0,0,220,65,35,11,150,51,0,0,0,0,0,0,0,0,185,62,40,7,154,59,0,0,4,2,0,0,0,0,198,68,42,4,178,52,0,0,0,1,0,0,0,0,220,57
36 Yrs - 40 Yrs,37,6,163,49,0,0,0,0,0,1,0,0,200,56,26,8,150,40,0,0,0,0,0,0,0,0,176,48,25,4,181,47,0,0,1,1,0,1,1,0,208,53,24,3,164,39,0,0,2,0,0,0,0,0,190,42
41 Yrs - 45 Yrs,23,6,197,37,0,0,0,0,0,1,0,0,220,44,25,1,170,31,0,0,0,1,0,0,0,0,195,33,21,2,174,32,0,0,1,0,0,0,0,0,196,34,19,3,181,30,0,0,1,1,0,0,1,0,202,34
46 Yrs - 50 Yrs,25,4,204,26,0,0,1,0,2,2,0,0,232,32,22,0,189,29,0,0,0,0,0,1,0,0,211,30,29,2,183,37,0,0,1,1,0,0,0,0,213,40,30,6,199,31,0,0,1,1,0,0,0,0,230,38
51 Yrs - 55 Yrs,21,4,212,41,0,0,0,0,0,0,0,0,233,45,28,2,214,40,0,0,0,0,0,0,0,1,242,43,27,2,222,33,0,0,1,0,0,0,0,1,250,36,18,6,201,34,0,0,0,1,0,0,1,0,220,41
56 Yrs - 60 Yrs,23,3,226,34,0,0,1,0,0,0,0,0,250,37,13,2,201,21,0,0,1,0,0,0,1,0,216,23,17,0,196,34,0,0,1,0,0,1,0,0,214,35,24,3,215,19,0,0,1,0,0,0,0,0,240,22
61 Yrs - 65 Yrs,13,6,207,23,0,0,2,0,0,0,0,0,222,29,11,4,161,23,0,0,0,0,1,0,1,0,174,27,14,2,181,28,0,0,0,0,2,0,0,0,197,30,11,2,190,31,0,0,1,0,0,0,0,0,202,33
66 Yrs - 70 Yrs,14,1,146,20,0,0,0,0,0,0,0,0,160,21,18,3,142,33,0,0,0,0,0,0,1,0,161,36,11,0,116,20,0,0,0,0,2,0,0,0,129,20,10,9,115,28,0,0,0,0,1,0,1,0,127,37
Over 71 Yrs,26,5,242,47,0,0,1,0,1,3,0,0,270,55,23,3,260,45,0,0,1,0,1,3,0,0,285,51,30,2,227,45,0,0,1,0,0,2,0,0,258,49,12,1,261,49,0,0,0,0,0,1,0,0,273,51
Total,601,201,1974,468,0,0,8,1,3,7,0,0,2586,677,530,229,1800,448,0,0,2,2,2,4,5,3,2339,686,556,197,1818,463,0,0,10,4,4,4,1,1,2389,669,551,216,1922,438,0,0,7,5,1,1,3,0,2484,660
